2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=13
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=7
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=4
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=11
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=19
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=16
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=8
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=13
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=18
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=14
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=16
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=17
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=12
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=16
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=14
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=12
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=18
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=12
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (25)  number of iterations=10
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (26)  number of iterations=13
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (27)  number of iterations=10
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (28)  number of iterations=13
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (29)  number of iterations=8
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (30)  number of iterations=8
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (31)  number of iterations=14
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (32)  number of iterations=8
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (33)  number of iterations=8
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (34)  number of iterations=14
2024-02-07 14:56:25,963 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=16
2024-02-07 14:56:25,963 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
